dataset,model,seed,n_classes,n_test,accuracy,ece_adaptive,ece_equalwidth,mce,brier,nll
ACSPublicCoverage-CA,tabpfn,0,2,2400,0.7158333333333333,0.04026053508122762,0.03339364459117254,0.057400561667777406,0.3826456912416917,0.5680845379829407
ACSPublicCoverage-CA,tabpfn,1,2,2400,0.7266666666666667,0.02736114447315533,0.023036542211969702,0.035518929466017424,0.3677489448194806,0.5445472598075867
ACSPublicCoverage-CA,tabpfn,2,2,2400,0.7179166666666666,0.033277568022410074,0.021503740002711606,0.05614480985108239,0.36932862595513966,0.5464196801185608
ACSPublicCoverage-CA,tabpfn,3,2,2400,0.7275,0.02180241584777833,0.019100814983248723,0.05497948817216636,0.3656169436854482,0.5427390933036804
ACSPublicCoverage-CA,tabpfn,4,2,2400,0.71125,0.02838210542996724,0.02481045991182328,0.06247187353843864,0.3810337676514423,0.5614443421363831
ACSPublicCoverage-CA,tabpfn_temp,0,2,2400,0.7158333333333333,0.036964065233866375,0.015102777828772843,0.05642021677710796,0.3808846644694844,0.5644091367721558
ACSPublicCoverage-CA,tabpfn_temp,1,2,2400,0.7266666666666667,0.019678031553824728,0.013416517948110895,0.04375112340563825,0.3673286885218447,0.5440186858177185
ACSPublicCoverage-CA,tabpfn_temp,2,2,2400,0.7179166666666666,0.03159349282582601,0.024502637709180503,0.048509836196899414,0.3690215535831356,0.5462375283241272
ACSPublicCoverage-CA,tabpfn_temp,3,2,2400,0.7275,0.02478764057159424,0.014787336265047408,0.03477723308511682,0.36575176322267844,0.5433375835418701
ACSPublicCoverage-CA,tabpfn_temp,4,2,2400,0.71125,0.02556127861142159,0.020770298863450692,0.03354106074885321,0.38020842407368094,0.5599237084388733
ACSPublicCoverage-CA,xgboost,0,2,2400,0.6916666666666667,0.09977095444997151,0.09942769015828767,0.1650092373384493,0.4287180269673877,0.6525412201881409
ACSPublicCoverage-CA,xgboost,1,2,2400,0.68875,0.09398833195368449,0.09398832482596237,0.13636496298604728,0.4144985849821012,0.6144744753837585
ACSPublicCoverage-CA,xgboost,2,2,2400,0.6975,0.0997009253501892,0.09598418337603411,0.14917907065260194,0.4207163133218466,0.6343178153038025
ACSPublicCoverage-CA,xgboost,3,2,2400,0.7066666666666667,0.086085572168231,0.08542900378505389,0.15114590191031874,0.40279056851965545,0.5983520150184631
ACSPublicCoverage-CA,xgboost,4,2,2400,0.6825,0.1097029407819112,0.10439599722623824,0.1832349369765589,0.4300848525322988,0.6423804759979248
ACSPublicCoverage-CA,lightgbm,0,2,2400,0.7091666666666666,0.07224885120972006,0.05895563997075834,0.09722392959433146,0.3978099070584148,0.5965426604822763
ACSPublicCoverage-CA,lightgbm,1,2,2400,0.6979166666666666,0.057759532600009024,0.05775953260000904,0.08091210772319968,0.3907810786769571,0.5752155300835364
ACSPublicCoverage-CA,lightgbm,2,2,2400,0.6970833333333334,0.06574750723190238,0.06261157015717764,0.11399230291316009,0.4030323438680956,0.5942732892382653
ACSPublicCoverage-CA,lightgbm,3,2,2400,0.7116666666666667,0.0502062131823001,0.045687997779615894,0.09759823683827018,0.38137912323644607,0.5642115918599246
ACSPublicCoverage-CA,lightgbm,4,2,2400,0.6966666666666667,0.07214300036234816,0.06851323208577177,0.12423508509858228,0.402756897053975,0.5921285062155303
ACSPublicCoverage-CA,mlp,0,2,2400,0.7008333333333333,0.03625875949859619,0.034507611617445956,0.067771736965623,0.4017925413006236,0.5903424024581909
ACSPublicCoverage-CA,mlp,1,2,2400,0.6825,0.042307812174161276,0.04014065702756248,0.10267314516512077,0.4084134554160549,0.596326470375061
ACSPublicCoverage-CA,mlp,2,2,2400,0.70375,0.024380343159039794,0.016348913436134656,0.036895200914266124,0.3910548148689992,0.5744981169700623
ACSPublicCoverage-CA,mlp,3,2,2400,0.7083333333333334,0.02857918058832486,0.024555247128009806,0.04755246639251709,0.38678168362510285,0.569953203201294
ACSPublicCoverage-CA,mlp,4,2,2400,0.68875,0.032046929995218916,0.02969175383448601,0.05689833814447576,0.4059718921923117,0.5918880105018616
ACSIncome-CA,tabpfn,0,2,2400,0.8208333333333333,0.02434460481007895,0.019508251324295994,0.10440876355042328,0.25234233548805113,0.39115244150161743
ACSIncome-CA,tabpfn,1,2,2400,0.82,0.01932498137156169,0.010501669943332646,0.06105465733486676,0.24854659403011037,0.3851779103279114
ACSIncome-CA,tabpfn,2,2,2400,0.8041666666666667,0.030208404064178455,0.029856796935200682,0.07232717214486539,0.27113023580671186,0.42317265272140503
ACSIncome-CA,tabpfn,3,2,2400,0.8170833333333334,0.02091619968414306,0.013602403750022264,0.026391270905915087,0.26041385901025793,0.4096963107585907
ACSIncome-CA,tabpfn,4,2,2400,0.8104166666666667,0.029594976107279472,0.031109227935473122,0.0833470985509347,0.2652340819301633,0.41341474652290344
ACSIncome-CA,tabpfn_temp,0,2,2400,0.8208333333333333,0.026178485552469894,0.026895130450526872,0.08973825256875223,0.2517736845687949,0.3910566568374634
ACSIncome-CA,tabpfn_temp,1,2,2400,0.82,0.019918162027994797,0.013230586970845884,0.08312925003995797,0.24868631570035432,0.3853515088558197
ACSIncome-CA,tabpfn_temp,2,2,2400,0.8041666666666667,0.02631269296010335,0.020272164344787614,0.05609665755872373,0.27009365422302667,0.4186669588088989
ACSIncome-CA,tabpfn_temp,3,2,2400,0.8170833333333334,0.030684139728546122,0.026132815132538467,0.0492584671292986,0.2617478203157564,0.4097335934638977
ACSIncome-CA,tabpfn_temp,4,2,2400,0.8104166666666667,0.022971988519032798,0.01565070999165375,0.03743471701939899,0.26380754928405886,0.40924498438835144
ACSIncome-CA,xgboost,0,2,2400,0.8091666666666667,0.061199223995208746,0.058438278585672354,0.1139180932515933,0.2774338287164876,0.4405498206615448
ACSIncome-CA,xgboost,1,2,2400,0.7929166666666667,0.06987902800242107,0.07211734389265381,0.1331831096601086,0.2881825601214794,0.45559433102607727
ACSIncome-CA,xgboost,2,2,2400,0.7925,0.0724062418937683,0.0740227505316337,0.10284609794616695,0.3044019698084823,0.49448680877685547
ACSIncome-CA,xgboost,3,2,2400,0.7945833333333333,0.0661178183555603,0.06611787160237632,0.14626818016955723,0.2959432421355179,0.47628480195999146
ACSIncome-CA,xgboost,4,2,2400,0.8,0.07605713605880739,0.07515794463455679,0.1507241300174168,0.29850345888506324,0.490046888589859
ACSIncome-CA,lightgbm,0,2,2400,0.8079166666666666,0.04400262593658155,0.0379293484040512,0.11165770369005579,0.2723489766575589,0.4252634560889101
ACSIncome-CA,lightgbm,1,2,2400,0.8041666666666667,0.040122539208204695,0.03969625777531262,0.11673911139494064,0.27148828703609723,0.4277366197960048
ACSIncome-CA,lightgbm,2,2,2400,0.7929166666666667,0.05750459579315041,0.05736392240111868,0.13900726542631625,0.29429878206800353,0.4651784628711016
ACSIncome-CA,lightgbm,3,2,2400,0.79625,0.0509658365949088,0.049764058274368105,0.08056553806039923,0.2842168463453738,0.4506784057414692
ACSIncome-CA,lightgbm,4,2,2400,0.80125,0.05428520803761351,0.05446813334013391,0.09460208552490645,0.28455669424146623,0.45310232200736
ACSIncome-CA,mlp,0,2,2400,0.79625,0.028115560213724772,0.017757851704955106,0.09221510493696616,0.2750721659956677,0.42406168580055237
ACSIncome-CA,mlp,1,2,2400,0.7908333333333334,0.022544731299082445,0.016057564839720723,0.054296157978199144,0.27885744606006874,0.42482027411460876
ACSIncome-CA,mlp,2,2,2400,0.7825,0.02408546606699626,0.021328046793738998,0.051228838095526474,0.29661752579352896,0.45324909687042236
ACSIncome-CA,mlp,3,2,2400,0.79125,0.02172633012135823,0.011817591885725676,0.02286142291103288,0.2888372568222652,0.4470338523387909
ACSIncome-CA,mlp,4,2,2400,0.7775,0.021174305280049627,0.01982576789955299,0.05548667307668087,0.306839229466088,0.4722048044204712
ACSEmployment-CA,tabpfn,0,2,2400,0.81125,0.03148687499264876,0.027912443131208435,0.09863597769098187,0.2675321951282541,0.41046950221061707
ACSEmployment-CA,tabpfn,1,2,2400,0.8045833333333333,0.020025423963864652,0.014244356701771415,0.05005430244528175,0.2613757471869076,0.396935373544693
ACSEmployment-CA,tabpfn,2,2,2400,0.8158333333333333,0.019994085083405177,0.022510113765796043,0.060417470426270437,0.2559465390242583,0.39161738753318787
ACSEmployment-CA,tabpfn,3,2,2400,0.8233333333333334,0.020919063091278084,0.01685514489809671,0.06993897842324304,0.25263236133637434,0.3897106349468231
ACSEmployment-CA,tabpfn,4,2,2400,0.8075,0.019223674933115633,0.015383996988336233,0.050133951746236805,0.2660307654754948,0.4061821401119232
ACSEmployment-CA,tabpfn_temp,0,2,2400,0.81125,0.027814078802863764,0.020096439197659497,0.08172938076581826,0.26649944181863483,0.40844136476516724
ACSEmployment-CA,tabpfn_temp,1,2,2400,0.8045833333333333,0.019978883489966397,0.016001195932428033,0.04139158321083136,0.26113496131462566,0.3967360556125641
ACSEmployment-CA,tabpfn_temp,2,2,2400,0.8158333333333333,0.018985413809617355,0.01910740551849206,0.05640822515059052,0.25579070416751004,0.39130789041519165
