dataset,axis,group,n_cal,n_test,frac_cal
ACSEmployment-CA,sex,Female,1046,1192,0.523
ACSEmployment-CA,sex,Male,954,1208,0.477
ACSEmployment-CA,race,Asian,312,406,0.156
ACSEmployment-CA,race,Black,84,103,0.042
ACSEmployment-CA,race,Other,333,442,0.1665
ACSEmployment-CA,race,White,1271,1449,0.6355
ACSEmployment-CA,age,25-39,393,526,0.1965
ACSEmployment-CA,age,40-54,406,427,0.203
ACSEmployment-CA,age,55-64,272,347,0.136
ACSEmployment-CA,age,65+,352,434,0.176
ACSEmployment-CA,age,<25,577,666,0.2885
ACSIncome-CA,sex,Female,961,1162,0.4805
ACSIncome-CA,sex,Male,1039,1238,0.5195
ACSIncome-CA,race,Asian,342,405,0.171
ACSIncome-CA,race,Black,86,111,0.043
ACSIncome-CA,race,Other,378,406,0.189
ACSIncome-CA,race,White,1194,1478,0.597
ACSIncome-CA,age,25-39,664,780,0.332
ACSIncome-CA,age,40-54,625,719,0.3125
ACSIncome-CA,age,55-64,340,432,0.17
ACSIncome-CA,age,65+,140,186,0.07
ACSIncome-CA,age,<25,231,283,0.1155
ACSPublicCoverage-CA,sex,Female,1112,1355,0.556
ACSPublicCoverage-CA,sex,Male,888,1045,0.444
ACSPublicCoverage-CA,race,Asian,308,362,0.154
ACSPublicCoverage-CA,race,Black,131,123,0.0655
ACSPublicCoverage-CA,race,Other,439,561,0.2195
ACSPublicCoverage-CA,race,White,1122,1354,0.561
ACSPublicCoverage-CA,age,25-39,557,643,0.2785
ACSPublicCoverage-CA,age,40-54,450,526,0.225
ACSPublicCoverage-CA,age,55-64,342,388,0.171
ACSPublicCoverage-CA,age,<25,651,843,0.3255
